Dates,Localisation,ESR,Type,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-10,ENTRE DOLE ET BESEANCON,oui,Intempéries,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-23,VERN,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-21,ANGOULEME,oui,Matières dangereuses,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01,MALAUSE,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-14,CREST,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-02,MIRAMAS,oui,Collision,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-06,LA FERTE MILON,oui,Pénétration intempestive sur domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-16,ETAIN,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-15,CARCASSONNE,oui,intempéries,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-02,REDING,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,JOIGNY SUR MEUSE,oui,Intempéries,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-26,Petit Vaux,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-30,Varennes sur Allier,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-25,Corgoloin,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-28,Bourget Triage,non,Incident de marchandise dangereuse,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-29,Gennes Longuefuye,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-26,Chambéry,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-21,Miramas,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-23,Lille Flandres,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-01,Lyon Part Dieu,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-21,ALIXIAN,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-02,LAPEYROUSE,oui,Mouvement en sens inverse du sens normal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-25,SAVIGNY SUR ORGE,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
