Dates,Localisation,ESR,Type,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-23,LIMOUSIN,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-01,GRANDE SYNTHE,oui,Incident grave,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-04,NANCY,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-24,BOVES,oui,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-11,Entre LYON et BADAN,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-09,VITRE,non,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-15,CLISSON et CHOLET,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-05,TRAPPES,oui,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-26,ANGOULEME,oui,Intempéries,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-04,LES ARCS,oui,Délivrance d’un bulletin de franchissement sans vérification,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-25,LGV EST EUROPEENNE,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-27,HAUBERGEN,oui,Sortie intempestive ou engagement d’un domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-22,LENS,oui,Sortie intempestive ou engagement d’un domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-11,SAINT MARTORY,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-07,SAINT BENOIT,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-02,SAINT CESAIRE,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-18,Les Aubrais,non,Appareil de voie mal disposé,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-18,Gare de Bordeaux St Jean,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-26,Sibelin,non,Sortie intempestive ou engagement d’un domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-25,Sully LGV,non,Acte de malveillance,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-21,Entre Paris Austerlitz Banlieue et St Michel Notre Dame,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-12,ENTRE VILLIERS NEAUPHLE ET PLAISIR GRIGNON,oui,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-18,MONTFORT L'AMAURY,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-21,REIMS,non,Pénétration intempestive sur domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-26,AGONAC,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-13,CREIL,oui,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-11,ENTRE BEZIERS et NARBONNE,non,Mise en œuvre de travaux en dehors du domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-05,CASTRES,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-20,MIRAMAS,non,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-24,CHEMILLE,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-18,CHÂTEAU-THIERRY,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-25,ENTRE RUELLE ET ANGOULEME,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-16,MONTPELLIER,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-13,AIX-Les-BAINS,non,Circulation de véhicule non autorisée,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-06,JARVILLE,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-25,SAINT-EULALIE,oui,Avarie matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-09,HETTANGE-GRANDE,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-10,SIBELIN,oui,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-01,TECHNICENTRE BFC,non,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-01,MIRAMAS,non,Matières dangereuses,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-30,GREZAN,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-23,Commentry,oui,Mise en œuvre de travaux en dehors du domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-08,Ris-Orangis,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-31,Paris Saint-Lazare,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-21,Parc des Expositions,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-03,Rosa Parks,oui,Accident de personne,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,Paris Saint Lazare,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-19,Poitiers,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-06,Jussy,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-20,Poitiers,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,Saint Jean de Maurienne,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-31,LABARTHE INARD,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-10,LILLE DELIVRANCE,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-09,PARIS SAINT-LAZARE,non,Erreur grave de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-17,LE MANS,oui,Engagement intempestif d’une circulation sur une voie protégée,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-02,ANDELOT,oui,Déshuntage,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-12,ENTRE SETE ET AGDE,non,Erreur grave de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-09,DUNKERQUE,non,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-12,MORBIER,non,Glissement de Terrain,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-07,AMIENS,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-02,SAINT-DENIS,non,Chute de voyageur,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-30,AIX LES BAINS,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-04,Givors,oui,Incident de frein,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-24,Villeneuve Saint Georges,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-18,Lyon,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-05,LA CALADE EGUILLES,non,Collision contre un obstacle à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-27,Somain,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-25,Armentières,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-09,CHAPONVAL,non,Chute de voyageur,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-19,Onzain,non,Arrêt hors de quai de tout ou partie d’un train de voyageurs,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-26,Angouleme,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-27,VEYNES DEVOLOUY,oui,Défaut ayant conduit à un risque grave,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-20,PONTOISE,non,Dégagement intempestif du domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-21,SAINT-EPVRE,non,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-06,OIGNIES,non,Collision,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,L'ARDOISE,non,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-29,BOULOURIS,non,Perte d’organe du matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-19,BRETIGNY,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-03,BEAUVOIR,non,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-04,BECON LES BRUYERES,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-21,MIRAMAS,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-23,HOUCARDE,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-20,ANNEMASSE,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-23,NC,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-20,TECHNICENTRE AUVERGNE NIVERNAIS,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-14,LA GRAVE D'AMBLARES,oui,Collision,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-25,SAINTES,oui,Expédition sans ordre,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-03,VALENCE POSTE 2,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-24,PONTGOUIN,oui,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-13,WOIPPY TRIAGE,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-14,BORDEAUX,non,Erreur d’itinéraire,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-21,Entre NUISEMENT à LUYERES,non,Appareil de voie mal disposé,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-13,SIBELIN,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-22,DOURDAN,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01,SAINT-GERMAIN-AU-MONT-D'OR,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-14,BERRE,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-29,LAROCHE MIGENNES,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-30,PARIS BERCY,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-12,SAINTE LUCE SUR LOIRE,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-17,CHATILLON,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-21,LA CHAPELLE,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-10,TECHNICENTRE De Paris Rive Gauche,non,Electrisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-13,LA POMME,non,Point limite d’un pantographe dépassé par une circulation électrique,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-11,LA BASTIDE SAINT LAURENT LES BAINS,oui,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-17,TUNNEL DE BREVAL,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-14,SAINT MEDARD D'EYRANS,oui,Non mise en protection,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-04,AMAGNE-LUQUY,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24,BONDY,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01,SONGY,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-29,PARIS AUSTERLITZ,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-21,CHALONS EN CHAMPAGNE,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-28,SERQUIGNY,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-29,PROUVY THIANS,oui,Heurt au croisement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-03,SOLIGNAC,oui,Autorisation de franchissement sans vérification,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-06,CAZERES SUR GARONNE,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-04,VAIRES sur MARNES,non,Sortie intempestive ou engagement d’un domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-30,ENTRE LONGUEIL STE MARIE ET ARSY,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-25,ENTRE NIMES ET ALES,oui,Défaut ayant conduit à un risque grave,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-08,TOULON,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,CHAZAY MARCILLY,non,Frein serré,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-07,QUEYVRAC,non,Collision,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-07,THIVIERS,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-07,SENS,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-19,Toulouse Raynal,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-22,Saint Etienne,non,Marchandises dangereuses,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-20,Quincieux,non,Boîte chaude,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-23,Sotteville,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,La Plaine Stade de France,oui,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,StPéray,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,Entre Villennes sur Seine et Poissy,non,Boîte chaude,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-27,Nevers,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-21,Bordeaux,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-20,St-Saulve Valenciennes,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,La Rochelle Pallice,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-25,Hourcade,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-26,St-Etienne-Bellevue,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-22,Strasbourg,oui,Incident grave de signalisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-24,Magneux-Courlandon,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-26,Trappes,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-26,Hagondange,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-26,Entre Montauban et Toulouse,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,Beaune,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,Entre Rai-Aube PL et  l’Aigle PL,oui,DVL,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,Entre Rai-Aube PL et l'Aigle PL,oui,DVL,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,Lille Délivrance,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,Toul,non,Délivrance d’un bulletin de franchissement sans vérification,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,Lestrem,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,Woippy,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,Argenteuil,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,Vaires,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,St Denis près Martel,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,Casino Lacroix Laval,non,Perte d’organe du matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-04,Noveant,oui,Autorisation de franchissement sans vérification,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-11,Sibelin,non,Matières dangereuses,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-18,Villeneuve Triage,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-20,Chateaudun,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-10,Dannes,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-15,Dépôt de Chalindrey,non,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-18,Connéré Beillé,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-16,GRAY,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-16,Nantes Blottereau,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-02,Belfort,oui,Mouvement en sens inverse du sens normal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-08,Montmoreau Tunnel du Livernan,oui,Heurt au croisement,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-11,Besançon-Viotte,non,Franchissement de Signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,Ruelle,non,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-13,Vénissieux,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-14,Lyon Vaise,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-09,Gare d'Alençon,non,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-05,Bourron Marlotte,non,Accident de personne,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,Gare de Pont Cardinet,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,Langeac,oui,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-15,Entre Castillon la Bataille et St Emilion,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,Magenta (Paris Est),non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-14,Lens,non,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,Sibelin,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-14,Pont Cardinet,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,Riom,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-16,Tarbes,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-23,Raccordement Rouen Martainville,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-02,Lunel,oui,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-10,Sens,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-23,Pierrefitte,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-30,Entre Massy TGV et Paris-Montparnasse,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-10,Saint-Gervais,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-17,Sainte-Bazeille,non,Collision contre obstacle à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-30,Monts,non,Avarie au matériel,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-29,Beuvraignes,non,Perte d’organe du matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-16,Rosny Bois Perrier,non,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-22,Entre Pontoise et Boissy l'Aillerie,non,Circulation de véhicule non autorisée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-13,Creil,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-10,Entre Le Havre et Rouen Rive Droite,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-08,Stade de France,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-04,Narbonne,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-14,Bram,non,Défaillance matériel,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-20,Evreux,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-13,Gare d'Achères Triage,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-05,Besancon viotte,non,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,Uckange,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,Entre Piolenc et Roquemaure,non,Sortie intempestive ou engagement d’un domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-09,Béthune,non,Sortie intempestive ou engagement d’un domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-09,Lyon Vaise,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-03,Chambéry,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-06,Rennes,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-31,Sibelin,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-09,Marseille St Charles,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-28,Entre Veauche et Montrond les Bains,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-03,Entre Landébia et Lamballe,oui,Collision contre obstacle à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-28,Montluçon,non,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-08,Vaires Torcy,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-22,Miramas,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-10,Pont Cardinet,non,Non respect du point d’arrêt,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-12,Entre Paris Austerlitz et Bibliothèque,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-23,Lyon Perrache,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-20,Chalons en Champagne,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-23,Paris Montparnasse,oui,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-22,Limoges,non,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-13,Aulnay sous Bois,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-18,St Germain au Mont d’Or,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-17,Woippy Triage,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-21,Marseille Arenc,non,Acte de malveillance,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-13,Clermont Ferrand,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-21,Entre Montchanin et Chagny,oui,Incident grave de signalisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-14,Strasbourg,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-17,Châtel Nomexy,oui,Accident de personne,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-14,Montpellier,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-15,Avignon Fontcouverte,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-21,Thionville,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-21,Hourcade,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-22,Chambéry,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-23,St Germain au Mont d’Or,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-29,Petit Thérain,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-04,Paris St Lazare,non,Collision avec enfoncement de heurtoir,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-03,Paris Batignolles,non,Point limite d’un pantographe dépassé par une circulation électrique,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-09,Lagny Thorigny,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-01,Rennes,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-10,Entre Pantin et Noisy le Sec,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-03,Petit Thérain,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-10,St Pierre des Corps,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-26,Bois Colombes,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-28,Les Aubrais,non,Engagement intempestif d’une circulation sous caténaire consignée,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-30,St Denis,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-30,Lannemezan,non,Collision contre obstacle à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-27,Laon,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
